track_name,artist(s)_name,artist_count,released_year,released_month,released_day,release_date,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,streams (millions)
"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,2022,4,8,4/8/2022,1116,0,101780047,31,9,15,0,1,166,D,Major,70,22,61,2,0,10,34,101.780047
Queencard,(G)I-DLE,1,2022,1,7,1/7/2022,1292,0,101114984,3,18,14,0,0,87,E,Minor,49,49,59,44,0,35,21,101.114984
Double Fantasy (with Future),"The Weeknd, Future",2,2023,3,22,3/22/2023,654,3,100409613,11,3,18,1,1,124,B,Minor,72,79,78,55,0,15,30,100.409613
Alone,Burna Boy,1,2022,12,9,12/9/2022,1007,0,98709329,5,31,1,0,0,152,C#,Major,65,35,65,44,18,21,7,98.709329
People Pt.2 (feat. IU),"IU, Agust D",1,2022,7,12,7/12/2022,367,0,97610446,28,67,195,0,0,145,G,Major,56,43,53,24,0,12,4,97.610446
Everything I Love,Morgan Wallen,1,2023,5,15,5/15/2023,451,33,96273746,10,126,7,0,148,130,E,Minor,82,69,83,3,0,27,5,96.273746
fukumean,Gunna,2,2023,4,21,4/21/2023,1169,0,96180277,36,65,28,0,0,119,A,Minor,60,10,57,1,0,50,3,96.180277
What It Is (Solo Version),Doechii,1,2022,11,4,11/4/2022,782,2,96007391,27,18,32,1,0,90,E,Minor,61,32,67,15,0,11,5,96.007391
Bye,Peso Pluma,2,2023,4,7,4/7/2023,209,4,95816024,4,45,11,2,24,89,G,Minor,73,44,57,39,0,32,6,95.816024
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",1,2023,1,31,1/31/2023,579,0,95623148,11,54,0,0,103,104,G#,Major,56,72,85,0,0,15,3,95.623148
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",1,2023,5,15,5/15/2023,1096,83,95217315,60,210,48,11,953,130,C#,Minor,85,22,62,12,0,28,9,95.217315
Used (feat. Don Toliver),"SZA, Don Toliver",1,2023,3,17,3/17/2023,804,25,95131998,29,76,24,0,162,172,C#,Minor,74,76,76,6,0,10,9,95.131998
Sem Alian��a no,"MC Xenon, Os Gemeos da Putaria",1,2023,5,26,5/26/2023,324,14,95053634,13,110,8,2,60,122,,Major,78,70,81,57,0,10,5,95.053634
PERO T�,"Karol G, Quevedo",2,2022,3,3,3/3/2022,461,0,94616487,7,11,13,0,0,71,C#,Minor,59,70,74,56,0,11,40,94.616487
BackOutsideBoyz,Drake,3,2023,6,2,6/2/2023,727,16,94186466,17,60,28,1,44,90,A,Minor,60,13,53,4,0,21,4,94.186466
