track_name,artist(s)_name,artist_count,released_year,released_month,released_day,release_date,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,streams (millions)
CORAZ��N VA,Maria Becerra,1,2023,5,19,5/19/2023,67,8,47956378,7,10,0,0,57,90,E,Minor,74,36,63,26,0,27,5,47.956378
Pi��man De�,"Semicenk, Do��u ",2,2022,9,13,9/13/2022,308,0,47093942,6,1,6,0,0,92,A#,Major,81,48,70,13,0,15,7,47.093942
Crown,Kendrick Lamar,2,2023,5,26,5/26/2023,588,0,46142772,23,21,31,0,0,90,G#,Major,62,7,62,6,0,58,6,46.142772
A Tale By Quincy,The Weeknd,2,2023,5,26,5/26/2023,381,5,46065667,23,82,6,0,113,134,B,Major,76,61,58,6,0,16,3,46.065667
Rich - Interlude,Kendrick Lamar,1,2023,6,22,6/22/2023,370,20,43857627,12,16,18,4,93,98,C#,Major,68,40,79,33,0,30,6,43.857627
Curtains,Ed Sheeran,2,2023,6,2,6/2/2023,185,3,43522589,5,6,4,1,33,98,A#,Minor,73,45,62,28,0,13,13,43.522589
Novidade na ��,"Mc Livinho, DJ Matt D",1,2022,5,13,5/13/2022,1493,0,42485571,2,0,10,0,0,170,C#,Minor,37,14,24,80,0,11,4,42.485571
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",1,2022,1,7,1/7/2022,733,0,41924466,0,2,2,0,0,94,F,Minor,46,55,50,71,0,10,11,41.924466
Enchanted (Taylor's Version),Taylor Swift,1,2022,5,13,5/13/2022,1103,0,41210087,0,0,0,0,0,104,G,Major,44,74,42,88,0,9,9,41.210087
Back To December (Taylor's Version),Taylor Swift,1,2023,5,5,5/5/2023,715,0,39893489,37,3,27,0,50,176,F#,Minor,50,44,76,10,0,32,5,39.893489
LAGUNAS,"Jasiel Nu��ez, Peso P",2,2023,6,23,6/23/2023,267,9,39709092,9,6,25,2,72,130,F,Major,63,36,34,76,0,35,9,39.709092
Still With You,Jung Kook,2,2023,6,2,6/2/2023,277,1,39666245,1,20,5,0,1,81,F#,Major,59,26,60,46,1,25,13,39.666245
Auntie Diaries,Kendrick Lamar,1,2023,7,7,7/7/2023,148,24,39578178,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3,39.578178
Every Angel is Terrifying,The Weeknd,1,2023,7,7,7/7/2023,139,17,39228929,16,72,5,0,8,142,D,Major,50,20,64,1,0,12,3,39.228929
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",2,2023,6,22,6/22/2023,58,18,39058561,2,106,4,2,184,116,B,Major,77,79,62,33,1,15,3,39.058561
Savior - Interlude,Kendrick Lamar,1,2020,6,5,6/5/2020,31,39,38411956,2,107,8,0,0,88,C#,Minor,53,34,47,9,0,83,4,38.411956
Mine (Taylor's Version),Taylor Swift,1,2022,5,13,5/13/2022,1545,0,37778188,1,0,4,0,0,78,G,Major,43,60,38,76,1,48,38,37.778188
Don't ever say love me (feat. RM of BTS),"RM, Colde",1,2022,1,7,1/7/2022,715,0,37307967,0,1,2,0,0,118,,Major,44,52,94,11,0,4,29,37.307967
Born With A Beer In My Hand,Morgan Wallen,3,2023,6,2,6/2/2023,259,0,37126685,5,17,5,0,0,135,A,Minor,77,28,55,18,0,22,15,37.126685
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",1,2022,5,13,5/13/2022,1194,0,37091576,0,0,3,0,0,118,F,Minor,66,83,43,84,0,19,19,37.091576
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",1,2023,7,7,7/7/2023,99,15,36912123,21,52,6,1,0,121,G,Major,65,49,78,0,0,17,4,36.912123
Devil Don���,Morgan Wallen,2,2023,5,4,5/4/2023,105,0,34502215,5,9,5,0,0,145,B,Minor,54,19,48,36,0,37,5,34.502215
Phantom Regret by Jim,The Weeknd,1,2023,3,3,3/3/2023,203,0,34450974,5,9,0,0,0,148,,Major,53,61,81,5,0,36,4,34.450974
Mi Bello Angel,Natanael Cano,2,2022,5,13,5/13/2022,1890,0,33381454,3,0,2,0,0,140,G#,Minor,49,50,37,87,0,11,35,33.381454
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,5,2023,6,2,6/2/2023,197,0,32761689,3,10,3,0,0,101,F,Major,92,59,51,41,51,26,8,32.761689
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,3,3,3/3/2023,166,0,32526947,2,10,0,0,0,125,,Major,53,32,66,38,0,9,3,32.526947
New Jeans,NewJeans,1,2022,1,7,1/7/2022,768,0,31959571,1,1,3,0,0,108,A,Minor,46,23,48,75,30,14,4,31.959571
Danger (Spider) (Offset & JID),"Offset, JID",1,2023,6,30,6/30/2023,86,8,31873544,7,76,3,1,93,128,A,Minor,81,90,77,1,0,9,5,31.873544
Rush,Troye Sivan,1,2023,7,13,7/13/2023,873,104,30546883,80,227,95,24,"1,173",78,,Major,44,14,9,96,0,10,3,30.546883
S91,Karol G,1,2023,7,7,7/7/2023,86,11,30343206,3,33,3,0,1,146,B,Minor,50,67,89,0,0,19,8,30.343206
Overdrive,Post Malone,1,2023,7,7,7/7/2023,77,35,29562220,8,166,4,4,34,134,E,Minor,81,53,72,51,0,12,5,29.56222
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,2,6/2/2023,214,0,24975653,3,3,6,0,0,143,B,Major,83,25,69,4,0,23,12,24.975653
QUEMA,"Sog, Ryan Castro, Peso Pluma",1,2023,7,13,7/13/2023,864,78,22581161,71,135,50,1,294,126,F,Minor,74,35,84,0,0,11,6,22.581161
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",1,2023,7,14,7/14/2023,525,41,16011326,34,115,39,6,216,128,,Minor,86,42,72,59,0,9,19,16.011326
Que Vuelvas,"Carin Leon, Grupo Frontera",1,2023,7,14,7/14/2023,410,36,14780425,36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4,14.780425
,,2,2023,6,1,6/1/2023,293,8,11956641,5,2,30,2,66,133,B,Minor,93,68,65,42,0,12,25,11.956641
,,3,2023,7,13,7/13/2023,437,31,11599388,17,29,26,3,208,97,,Major,79,92,89,5,0,6,5,11.599388
,,6,2022,12,22,12/22/2022,138,4,1365184,13,78,2,0,0,105,G,Major,82,62,74,10,0,33,7,1.365184
,,2,2022,12,9,12/9/2022,763,26,2762,21,110,21,9,71,162,A#,Major,49,78,64,19,0,11,4,0.002762
